a	a 1
bển	b e n 4
bện	b e n 6
bẽn	b ɛ n 3
bẹn	b ɛ n 6
beng	b ɛ ŋ 1
béng	b ɛ ŋ 5
bênh	b e ɲ 1
bếnh	b e ɲ 5
bềnh	b e ɲ 2
bểnh	b e ɲ 4
bệnh	b e ɲ 6
beo	b eo 1
béo	b eo 5
bèo	b eo 2
bẽo	b eo 3
bẻo	b eo 4
bẹo	b eo 6
bép	b ɛ p 5
bếp	b e p 5
bệp	b e p 6
bẹp	b ɛ p 6
bét	b ɛ t 5
bết	b e t 5
bệt	b e t 6
bẹt	b ɛ t 6
bêu	b ɛu 1
bều	b ɛu 2
bệu	b ɛu 6
bi	b i 1
bí	b i 5
bì	b i 2
bĩ	b i 3
bỉ	b i 4
bị	b i 6
bia	b iə 1
bìa	b iə 2
bịa	b iə 6
bíc	b i k 5
bích	b i tʃ 5
bịch	b i tʃ 6
biếc	b iə k 5
biếm	b iə m 5
biên	b iə n 1
biến	b iə n 5
biền	b iə n 2
biển	b iə n 4
biện	b iə n 6
biêng	b iə ŋ 1
biếng	b iə ŋ 5
biết	b iə t 5
biệt	b iə t 6
biêu	b iə w 1
biếu	b iə w 5
biểu	b iə w 4
bim	b i m 1
bím	b i m 5
bìm	b i m 2
bỉm	b i m 4
bin	b i n 1
bín	b i n 5
bịn	b i n 6
binh	b i ɲ 1
bính	b i ɲ 5
bình	b i ɲ 2
bĩnh	b i ɲ 3
bỉnh	b i ɲ 4
bịnh	b i ɲ 6
bíp	b i p 5
bịp	b i p 6
bít	b i t 5
bịt	b i t 6
biu	b i w 1
bíu	b i w 5
bìu	b i w 2
bĩu	b i w 3
bỉu	b i w 4
bịu	b i w 6
bo	b ɔ 1
bó	b ɔ 5
bò	b ɔ 2
bô	b o 1
bố	b o 5
bồ	b o 2
bỗ	b o 3
bổ	b o 4
bộ	b o 6
bõ	b ɔ 3
bỏ	b ɔ 4
bọ	b ɔ 6
bơ	b ɤ 1
bớ	b ɤ 5
bờ	b ɤ 2
bỡ	b ɤ 3
bở	b ɤ 4
bợ	b ɤ 6
boa	bw ʷa 1
bóc	b ɔ k͡p 5
bốc	b o k͡p 5
bộc	b o k͡p 6
bọc	b ɔ k͡p 6
boi	b ɔ j 1
bói	b ɔ j 5
bòi	b ɔ j 2
bôi	b o j 1
bối	b o j 5
bồi	b o j 2
bổi	b o j 4
bội	b o j 6
bỏi	b ɔ j 4
bơi	b ɤ j 1
bới	b ɤ j 5
bời	b ɤ j 2
bởi	b ɤ j 4
bom	b ɔ m 1
bòm	b ɔ m 2
bôm	b o m 1
bồm	b o m 2
bỗm	b o m 3
bõm	b ɔ m 3
bỏm	b ɔ m 4
bơm	b ɤ m 1
bờm	b ɤ m 2
bợm	b ɤ m 6
bon	b ɔ n 1
bón	b ɔ n 5
bòn	b ɔ n 2
bôn	b o n 1
bốn	b o n 5
bồn	b o n 2
bổn	b o n 4
bộn	b o n 6
bỏn	b ɔ n 4
bọn	b ɔ n 6
bơn	b ɤ n 1
bớn	b ɤ n 5
bờn	b ɤ n 2
bỡn	b ɤ n 3
bợn	b ɤ n 6
bong	b ɔ ŋ͡m 1
bóng	b ɔ ŋ͡m 5
bòng	b ɔ ŋ͡m 2
bông	b o ŋ͡m 1
bống	b o ŋ͡m 5
bồng	b o ŋ͡m 2
