a	a 1
cẩm	k ɤ̆ m 4
cậm	k ɤ̆ m 6
cảm	k a m 4
cạm	k a m 6
can	k a n 1
cán	k a n 5
càn	k a n 2
căn	k ă n 1
cắn	k ă n 5
cằn	k ă n 2
cẳn	k ă n 4
cặn	k ă n 6
cân	k ɤ̆ n 1
cấn	k ɤ̆ n 5
cần	k ɤ̆ n 2
cẫn	k ɤ̆ n 3
cẩn	k ɤ̆ n 4
cận	k ɤ̆ n 6
cản	k a n 4
cạn	k a n 6
cang	k a ŋ 1
cáng	k a ŋ 5
càng	k a ŋ 2
căng	k ă ŋ 1
cắng	k ă ŋ 5
cằng	k ă ŋ 2
cẵng	k ă ŋ 3
cẳng	k ă ŋ 4
câng	k ɤ̆ ŋ 1
cẫng	k ɤ̆ ŋ 3
cảng	k a ŋ 4
canh	k ɛ ɲ 1
cánh	k ɛ ɲ 5
cành	k ɛ ɲ 2
cảnh	k ɛ ɲ 4
cạnh	k ɛ ɲ 6
cao	k a w 1
cáo	k a w 5
cào	k a w 2
cảo	k a w 4
cạo	k a w 6
cáp	k a p 5
cắp	k ă p 5
cặp	k ă p 6
cấp	k ɤ̆ p 5
cập	k ɤ̆ p 6
cạp	k a p 6
cát	k a t 5
cắt	k ă t 5
cặt	k ă t 6
cất	k ɤ̆ t 5
cật	k ɤ̆ t 6
cau	k ă w 1
cáu	k ă w 5
càu	k ă w 2
câu	k ɤ̆ w 1
cấu	k ɤ̆ w 5
cầu	k ɤ̆ w 2
cẩu	k ɤ̆ w 4
cậu	k ɤ̆ w 6
cảu	k ă w 4
cạu	k ă w 6
cay	k ă j 1
cáy	k ă j 5
cày	k ă j 2
cây	k ɤ̆ j 1
cấy	k ɤ̆ j 5
cầy	k ɤ̆ j 2
cẩy	k ɤ̆ j 4
cậy	k ɤ̆ j 6
cảy	k ă j 4
cạy	k ă j 6
cha	c a 1
chá	c a 5
chà	c a 2
chã	c a 3
chả	c a 4
chạ	c a 6
chác	c a k 5
chắc	c ă k 5
chặc	c ă k 6
chậc	c ɤ̆ k 6
chạc	c a k 6
chách	c a tʃ 5
chạch	c a tʃ 6
chai	c a j 1
chái	c a j 5
chài	c a j 2
chãi	c a j 3
chải	c a j 4
cham	c a m 1
chàm	c a m 2
chăm	c ă m 1
chắm	c ă m 5
chằm	c ă m 2
chặm	c ă m 6
châm	c ɤ̆ m 1
chấm	c ɤ̆ m 5
chầm	c ɤ̆ m 2
chẫm	c ɤ̆ m 3
chẩm	c ɤ̆ m 4
chậm	c ɤ̆ m 6
chảm	c a m 4
chạm	c a m 6
chan	c a n 1
chán	c a n 5
chăn	c ă n 1
chắn	c ă n 5
chằn	c ă n 2
chẵn	c ă n 3
chặn	c ă n 6
chân	c ɤ̆ n 1
chấn	c ɤ̆ n 5
chần	c ɤ̆ n 2
chẫn	c ɤ̆ n 3
chẩn	c ɤ̆ n 4
chận	c ɤ̆ n 6
chạn	c a n 6
chang	c a ŋ 1
cháng	c a ŋ 5
chàng	c a ŋ 2
chăng	c ă ŋ 1
chằng	c ă ŋ 2
chẳng	c ă ŋ 4
chặng	c ă ŋ 6
châng	c ɤ̆ ŋ 1
chảng	c a ŋ 4
chạng	c a ŋ 6
chanh	c ɛ ɲ 1
chánh	c ɛ ɲ 5
chành	c ɛ ɲ 2
chảnh	c ɛ ɲ 4
chạnh	c ɛ ɲ 6
chao	c a w 1
cháo	c a w 5
chào	c a w 2
chão	c a w 3
chảo	c a w 4
chạo	c a w 6
chắp	c ă p 5
chặp	c ă p 6
chấp	c ɤ̆ p 5
chập	c ɤ̆ p 6
chạp	c a p 6
chát	c a t 5
chắt	c ă t 5
chặt	c ă t 6
chất	c ɤ̆ t 5
chật	c ɤ̆ t 6
chạt	c a t 6
chau	c ă w 1
cháu	c ă w 5
chàu	c ă w 2
châu	c ɤ̆ w 1
chấu	c ɤ̆ w 5
chầu	c ɤ̆ w 2
chẫu	c ɤ̆ w 3
chẩu	c ɤ̆ w 4
chậu	c ɤ̆ w 6
chảu	c ă w 4
chay	c ă j 1
cháy	c ă j 5
chày	c ă j 2
chây	c ɤ̆ j 1
chấy	c ɤ̆ j 5
chầy	c ɤ̆ j 2
chẩy	c ɤ̆ j 4
chậy	c ɤ̆ j 6
chảy	c ă j 4
chạy	c ă j 6
che	c ɛ 1
ché	c ɛ 5
chè	c ɛ 2
chê	c e 1
chế	c e 5
chề	c e 2
chệ	c e 6
chẽ	c ɛ 3
chẻ	c ɛ 4
chếch	c e tʃ 5
chệch	c e tʃ 6
chem	c ɛ m 1
chém	c ɛ m 5
chèm	c ɛ m 2
chêm	c e m 1
chềm	c e m 2
chễm	c e m 3
chệm	c e m 6
chẽm	c ɛ m 3
chẻm	c ɛ m 4
chen	c ɛ n 1
chén	c ɛ n 5
chèn	c ɛ n 2
chện	c e n 6
chẽn	c ɛ n 3
chẹn	c ɛ n 6
cheng	c ɛ ŋ 1
chẻng	c ɛ ŋ 4
chênh	c e ɲ 1
chếnh	c e ɲ 5
chềnh	c e ɲ 2
chễnh	c e ɲ 3
chểnh	c e ɲ 4
chệnh	c e ɲ 6
cheo	c eo 1
chéo	c eo 5
chèo	c eo 2
chẻo	c eo 4
chẹo	c eo 6
chép	c ɛ p 5
chếp	c e p 5
chệp	c e p 6
chẹp	c ɛ p 6
chét	c ɛ t 5
chết	c e t 5
chệt	c e t 6
chẹt	c ɛ t 6
chêu	c ɛu 1
chi	c i 1
chí	c i 5
chì	c i 2
chỉ	c i 4
chị	c i 6
chia	c iə 1
chía	c iə 5
chìa	c iə 2
chĩa	c iə 3
chỉa	c iə 4
chịa	c iə 6
chích	c i tʃ 5
chịch	c i tʃ 6
chiếc	c iə k 5
chiệc	c iə k 6
chiêm	c iə m 1
chiếm	c iə m 5
chiên	c iə n 1
chiến	c iə n 5
chiền	c iə n 2
chiện	c iə n 6
chiêng	c iə ŋ 1
chiếng	c iə ŋ 5
chiềng	c iə ŋ 2
chiểng	c iə ŋ 4
chiệng	c iə ŋ 6
chiếp	c iə p 5
chiết	c iə t 5
chiêu	c iə w 1
chiếu	c iə w 5
chiều	c iə w 2
chiểu	c iə w 4
chim	c i m 1
chím	c i m 5
chìm	c i m 2
chin	c i n 1
chín	c i n 5
chĩn	c i n 3
chỉn	c i n 4
chịn	c i n 6
chinh	c i ɲ 1
chính	c i ɲ 5
chình	c i ɲ 2
chĩnh	c i ɲ 3
chỉnh	c i ɲ 4
chíp	c i p 5
chít	c i t 5
chịt	c i t 6
chiu	c i w 1
chíu	c i w 5
chìu	c i w 2
chĩu	c i w 3
chịu	c i w 6
cho	c ɔ 1
chó	c ɔ 5
chò	c ɔ 2
chô	c o 1
chồ	c o 2
chỗ	c o 3
chổ	c o 4
chõ	c ɔ 3
chỏ	c ɔ 4
chọ	c ɔ 6
chơ	c ɤ 1
chớ	c ɤ 5
chờ	c ɤ 2
chở	c ɤ 4
chợ	c ɤ 6
choa	cw ʷa 1
chóa	cw ʷa 5
choác	cw ʷa k 5
choạc	cw ʷa k 6
choai	cw a j 1
choái	cw a j 5
choài	cw a j 2
choãi	cw a j 3
choại	cw a j 6
choàm	cw ʷa m 2
choán	cw ʷa n 5
choăn	cw ʷă n 1
choang	cw ʷa ŋ 1
choáng	cw ʷa ŋ 5
choàng	cw ʷa ŋ 2
choảng	cw ʷa ŋ 4
choạng	cw ʷa ŋ 6
choạp	cw ʷa p 6
choắt	cw ʷă t 5
chóc	c ɔ k͡p 5
chốc	c o k͡p 5
chọc	c ɔ k͡p 6
choe	cw ʷɛ 1
chóe	cw ʷɛ 5
chòe	cw ʷɛ 2
chọe	cw ʷɛ 6
choen	cw ʷɛ n 1
choèn	cw ʷɛ n 2
choẻn	cw ʷɛ n 4
choét	cw ʷɛ t 5
choẹt	cw ʷɛ t 6
choi	c ɔ j 1
chói	c ɔ j 5
chòi	c ɔ j 2
chôi	c o j 1
chối	c o j 5
chồi	c o j 2
chỗi	c o j 3
chổi	c o j 4
chội	c o j 6
chỏi	c ɔ j 4
chọi	c ɔ j 6
chơi	c ɤ j 1
chới	c ɤ j 5
chòm	c ɔ m 2
chôm	c o m 1
chồm	c o m 2
chỗm	c o m 3
chổm	c o m 4
chõm	c ɔ m 3
chỏm	c ɔ m 4
chơm	c ɤ m 1
chớm	c ɤ m 5
chờm	c ɤ m 2
chởm	c ɤ m 4
chợm	c ɤ m 6
chon	c ɔ n 1
chôn	c o n 1
chốn	c o n 5
chồn	c o n 2
chộn	c o n 6
chỏn	c ɔ n 4
chọn	c ɔ n 6
chơn	c ɤ n 1
chớn	c ɤ n 5
chờn	c ɤ n 2
chợn	c ɤ n 6
chong	c ɔ ŋ͡m 1
chóng	c ɔ ŋ͡m 5
chòng	c ɔ ŋ͡m 2
chông	c o ŋ͡m 1
chống	c o ŋ͡m 5
chồng	c o ŋ͡m 2
chổng	c o ŋ͡m 4
chõng	c ɔ ŋ͡m 3
chỏng	c ɔ ŋ͡m 4
chóp	c ɔ p 5
chốp	c o p 5
chộp	c o p 6
chọp	c ɔ p 6
chớp	c ɤ p 5
chợp	c ɤ p 6
chót	c ɔ t 5
chốt	c o t 5
chột	c o t 6
chọt	c ɔ t 6
chớt	c ɤ t 5
chợt	c ɤ t 6
chu	c u 1
chú	c u 5
chù	c u 2
chủ	c u 4
chư	c ɯ 1
chứ	c ɯ 5
chừ	c ɯ 2
chữ	c ɯ 3
chử	c ɯ 4
chua	c uə 1
chúa	c uə 5
chùa	c uə 2
chủa	c uə 4
chưa	c ɯə 1
chứa	c ɯə 5
chừa	c ɯə 2
chữa	c ɯə 3
chửa	c ɯə 4
chuân	cw ʷɤ̆ n 1
chuẩn	cw ʷɤ̆ n 4
chúc	c u k͡p 5
chục	c u k͡p 6
chức	c ɯ k 5
chực	c ɯ k 6
chuếch	cw ʷe tʃ 5
chuệch	cw ʷe tʃ 6
chuếnh	cw ʷe ɲ 5
chuểnh	cw ʷe ɲ 4
chui	c u j 1
chúi	c u j 5
chùi	c u j 2
chũi	c u j 3
chửi	c ɯ j 4
chum	c u m 1
chúm	c u m 5
chùm	c u m 2
chũm	c u m 3
chủm	c u m 4
chụm	c u m 6
chun	c u n 1
chùn	c u n 2
chũn	c u n 3
chủn	c u n 4
chưn	c ɯ n 1
chung	c u ŋ͡m 1
chúng	c u ŋ͡m 5
chùng	c u ŋ͡m 2
chủng	c u ŋ͡m 4
chưng	c ɯ ŋ 1
chứng	c ɯ ŋ 5
chừng	c ɯ ŋ 2
chững	c ɯ ŋ 3
chửng	c ɯ ŋ 4
chựng	c ɯ ŋ 6
chuốc	c uə k 5
chuộc	c uə k 6
chước	c ɯə k 5
chược	c ɯə k 6
chuôi	c uə j 1
chuối	c uə j 5
chuồi	c uə j 2
chuỗi	c uə j 3
chuội	c uə j 6
chưởi	c ɯə j 4
chuôm	c uə m 1
chườm	c ɯə m 2
chuồn	c uə n 2
chuỗn	c uə n 3
chuông	c uə ŋ 1
chuồng	c uə ŋ 2
chuộng	c uə ŋ 6
chương	c ɯə ŋ 1
chướng	c ɯə ŋ 5
chường	c ɯə ŋ 2
chưỡng	c ɯə ŋ 3
chưởng	c ɯə ŋ 4
chượp	c ɯə p 6
chuốt	c uə t 5
chuột	c uə t 6
chụp	c u p 6
chút	c u t 5
chụt	c u t 6
chùy	c u j 2
chuya	cw ʷiə 1
chuyên	cw ʷiə n 1
chuyến	cw ʷiə n 5
chuyền	cw ʷiə n 2
chuyển	cw ʷiə n 4
chuyện	cw ʷiə n 6
co	k ɔ 1
có	k ɔ 5
cò	k ɔ 2
cô	k o 1
cố	k o 5
cồ	k o 2
cỗ	k o 3
cổ	k o 4
cộ	k o 6
cỏ	k ɔ 4
cọ	k ɔ 6
cơ	k ɤ 1
cớ	k ɤ 5
cờ	k ɤ 2
cỡ	k ɤ 3
cóc	k ɔ k͡p 5
cốc	k o k͡p 5
cộc	k o k͡p 6
cọc	k ɔ k͡p 6
coi	k ɔ j 1
cói	k ɔ j 5
còi	k ɔ j 2
côi	k o j 1
cối	k o j 5
cỗi	k o j 3
cổi	k o j 4
cội	k o j 6
cõi	k ɔ j 3
cỏi	k ɔ j 4
cọi	k ɔ j 6
cơi	k ɤ j 1
cời	k ɤ j 2
cỡi	k ɤ j 3
cởi	k ɤ j 4
com	k ɔ m 1
cóm	k ɔ m 5
còm	k ɔ m 2
côm	k o m 1
cốm	k o m 5
cồm	k o m 2
cộm	k o m 6
cõm	k ɔ m 3
cỏm	k ɔ m 4
cọm	k ɔ m 6
cơm	k ɤ m 1
cớm	k ɤ m 5
cờm	k ɤ m 2
cỡm	k ɤ m 3
cợm	k ɤ m 6
con	k ɔ n 1
cón	k ɔ n 5
còn	k ɔ n 2
côn	k o n 1
cốn	k o n 5
cồn	k o n 2
cổn	k o n 4
cộn	k o n 6
cỏn	k ɔ n 4
cọn	k ɔ n 6
cơn	k ɤ n 1
cớn	k ɤ n 5
cờn	k ɤ n 2
cỡn	k ɤ n 3
cợn	k ɤ n 6
cong	k ɔ ŋ͡m 1
cóng	k ɔ ŋ͡m 5
còng	k ɔ ŋ͡m 2
công	k o ŋ͡m 1
cống	k o ŋ͡m 5
cồng	k o ŋ͡m 2
cổng	k o ŋ͡m 4
cộng	k o ŋ͡m 6
cõng	k ɔ ŋ͡m 3
cỏng	k ɔ ŋ͡m 4
cọng	k ɔ ŋ͡m 6
cóp	k ɔ p 5
cốp	k o p 5
cộp	k o p 6
cọp	k ɔ p 6
cợp	k ɤ p 6
cót	k ɔ t 5
cốt	k o t 5
cột	k o t 6
cọt	k ɔ t 6
cớt	k ɤ t 5
cợt	k ɤ t 6
cu	k u 1
cú	k u 5
cù	k u 2
cũ	k u 3
củ	k u 4
cụ	k u 6
cư	k ɯ 1
cứ	k ɯ 5
cừ	k ɯ 2
cữ	k ɯ 3
cử	k ɯ 4
cự	k ɯ 6
cua	k uə 1
cúa	k uə 5
của	k uə 4
cưa	k ɯə 1
cứa	k ɯə 5
cửa	k ɯə 4
cựa	k ɯə 6
cúc	k u k͡p 5
cục	k u k͡p 6
cức	k ɯ k 5
cực	k ɯ k 6
cui	k u j 1
cúi	k u j 5
cùi	k u j 2
cũi	k u j 3
củi	k u j 4
cụi	k u j 6
cứi	k ɯ j 5
cửi	k ɯ j 4
cum	k u m 1
cúm	k u m 5
cùm	k u m 2
củm	k u m 4
cụm	k u m 6
cun	k u n 1
cún	k u n 5
cùn	k u n 2
cũn	k u n 3
củn	k u n 4
cung	k u ŋ͡m 1
cúng	k u ŋ͡m 5
cùng	k u ŋ͡m 2
cũng	k u ŋ͡m 3
củng	k u ŋ͡m 4
cụng	k u ŋ͡m 6
cưng	k ɯ ŋ 1
cứng	k ɯ ŋ 5
cững	k ɯ ŋ 3
cửng	k ɯ ŋ 4
cuốc	k uə k 5
cuộc	k uə k 6
cước	k ɯə k 5
cược	k ɯə k 6
cuối	k uə j 5
cuội	k uə j 6
cưới	k ɯə j 5
cười	k ɯə j 2
cưỡi	k ɯə j 3
cuỗm	k uə m 3
cườm	k ɯə m 2
cuốn	k uə n 5
cuồn	k uə n 2
cuộn	k uə n 6
cuông	k uə ŋ 1
cuống	k uə ŋ 5
cuồng	k uə ŋ 2
cuộng	k uə ŋ 6
cương	k ɯə ŋ 1
cường	k ɯə ŋ 2
cưỡng	k ɯə ŋ 3
cướp	k ɯə p 5
cúp	k u p 5
cụp	k u p 6
cút	k u t 5
cụt	k u t 6
cứt	k ɯ t 5
cưu	k ɯ w 1
cứu	k ɯ w 5
cừu	k ɯ w 2
cữu	k ɯ w 3
cửu	k ɯ w 4
cựu	k ɯ w 6
da	z a 1
đa	d a 1
dá	z a 5
đá	d a 5
dà	z a 2
đà	d a 2
dã	z a 3
đã	d a 3
dả	z a 4
đả	d a 4
dạ	z a 6
đạ	d a 6
dác	z a k 5
đác	d a k 5
dắc	z ă k 5
dặc	z ă k 6
đắc	d ă k 5
đặc	d ă k 6
dạc	z a k 6
đạc	d a k 6
dách	z a tʃ 5
đách	d a tʃ 5
đạch	d a tʃ 6
dai	z a j 1
đai	d a j 1
dái	z a j 5
đái	d a j 5
dài	z a j 2
đài	d a j 2
dãi	z a j 3
đãi	d a j 3
dải	z a j 4
dại	z a j 6
đại	d a j 6
đắk	 ' ' k
dam	z a m 1
đam	d a m 1
dám	z a m 5
đám	d a m 5
dàm	z a m 2
đàm	d a m 2
dăm	z ă m 1
dắm	z ă m 5
dằm	z ă m 2
dặm	z ă m 6
đăm	d ă m 1
đắm	d ă m 5
đằm	d ă m 2
đẵm	d ă m 3
đặm	d ă m 6
dâm	z ɤ̆ m 1
dấm	z ɤ̆ m 5
dầm	z ɤ̆ m 2
dẫm	z ɤ̆ m 3
dẩm	z ɤ̆ m 4
dậm	z ɤ̆ m 6
